투자사명,투자단계,log_투자유치금액
네이버,2,5.017279836814924
카카오벤처스,1,2.833213344056216
카카오벤처스,2,5.017279836814924
카카오벤처스,2,5.017279836814924
스톤브릿지벤처스,1,2.833213344056216
스톤브릿지벤처스,2,5.017279836814924
스톤브릿지벤처스,2,5.017279836814924
녹십자,2,5.017279836814924
녹십자,2,5.017279836814924
에스브이인베스트먼트,2,5.017279836814924
에스브이인베스트먼트,2,5.017279836814924
네이버,1,3.828641396489095
네이버,2,3.9318256327243257
네이버,2,4.564348191467836
베이스인베스트먼트,2,4.564348191467836
베이스인베스트먼트,1,3.828641396489095
한국투자파트너스,2,4.564348191467836
한국투자파트너스,1,3.828641396489095
본엔젤스벤처파트너스,2,4.564348191467836
본엔젤스벤처파트너스,2,3.9318256327243257
본엔젤스벤처파트너스,1,3.828641396489095
펄어비스캐피탈,2,3.9318256327243257
펄어비스캐피탈,2,4.564348191467836
네이버,5,5.525452939131784
디쓰리쥬빌리파트너스,6,5.564520407322694
아이엠엠인베스트먼트,6,5.564520407322694
아이엠엠인베스트먼트,5,4.61512051684126
제이비인베스트먼트,1,2.19722457733622
제이비인베스트먼트,5,4.61512051684126
인터베스트,5,3.9318256327243257
본엔젤스벤처파트너스,1,2.19722457733622
신한캐피탈,6,5.564520407322694
신한은행,5,5.525452939131784
에이치비인베스트먼트,6,5.564520407322694
아이비케이캐피탈,6,5.564520407322694
한국산업은행,5,3.9318256327243257
캡스톤파트너스,5,3.9318256327243257
에스비파트너스,6,5.564520407322694
엔에이치투자증권,6,5.564520407322694
티에스인베스트먼트,5,5.525452939131784
네이버,3,4.574710978503383
네이버,3,3.610917912644224
카카오벤처스,3,4.574710978503383
카카오벤처스,3,3.610917912644224
씨제이이엔엠,3,4.110873864173311
씨제이이엔엠,3,4.574710978503383
네이버,1,2.833213344056216
네이버,1,2.833213344056216
씨엔티테크,1,2.833213344056216
씨엔티테크,1,2.833213344056216
경남창조경제혁신센터,1,2.833213344056216
경남창조경제혁신센터,1,2.833213344056216
네이버,1,2.833213344056216
네이버,1,2.833213344056216
네이버,1,2.833213344056216
네이버,1,2.833213344056216
네이버,1,2.833213344056216
네이버,1,1.791759469228055
서울대학교기술지주,1,2.833213344056216
서울대학교기술지주,1,1.791759469228055
네이버,1,2.833213344056216
네이버,1,2.833213344056216
롯데벤처스,1,2.833213344056216
매쉬업엔젤스,1,2.833213344056216
네이버,1,2.833213344056216
네이버,2,3.295836866004329
케이비인베스트먼트,2,3.295836866004329
케이비인베스트먼트,2,3.295836866004329
더웰스인베스트먼트,2,3.295836866004329
더웰스인베스트먼트,2,3.295836866004329
네이버,2,3.295836866004329
네이버,3,1.791759469228055
본엔젤스벤처파트너스,1,2.833213344056216
본엔젤스벤처파트너스,2,3.295836866004329
본엔젤스벤처파트너스,3,1.791759469228055
케이비인베스트먼트,2,3.295836866004329
케이비인베스트먼트,3,1.791759469228055
씨제이이엔엠,3,4.465908118654584
씨제이이엔엠,3,1.791759469228055
블루포인트파트너스,1,2.833213344056216
포항공과대학교기술지주,1,2.833213344056216
네이버,3,4.465908118654584
네이버,3,4.465908118654584
네이버,3,1.791759469228055
파트너스인베스트먼트,3,4.465908118654584
파트너스인베스트먼트,3,1.791759469228055
네이버,1,2.833213344056216
네이버,5,4.564348191467836
네이버,5,4.875197323201151
아이엠엠인베스트먼트,5,4.564348191467836
아이엠엠인베스트먼트,5,4.875197323201151
김기사랩,1,2.833213344056216
김기사랩,5,4.875197323201151
본엔젤스벤처파트너스,1,2.833213344056216
본엔젤스벤처파트너스,5,4.875197323201151
라구나인베스트먼트,5,4.875197323201151
라구나인베스트먼트,5,4.564348191467836
라구나인베스트먼트,3,3.4339872044851463
우리벤처파트너스,5,4.875197323201151
우리벤처파트너스,5,4.564348191467836
컴퍼니케이파트너스,5,4.564348191467836
컴퍼니케이파트너스,3,3.4339872044851463
컴퍼니케이파트너스,5,4.875197323201151
코오롱인베스트먼트,5,4.564348191467836
코오롱인베스트먼트,5,4.875197323201151
브리즈인베스트먼트,5,4.875197323201151
브리즈인베스트먼트,5,4.564348191467836
네이버,1,2.833213344056216
네이버,6,5.303304908059076
씨제이인베스트먼트,5,5.017279836814924
씨제이인베스트먼트,3,3.9318256327243257
씨제이인베스트먼트,6,5.303304908059076
디지털헬스케어파트너스,6,6.267200548541362
디지털헬스케어파트너스,6,5.303304908059076
아이엠엠인베스트먼트,5,5.017279836814924
아이엠엠인베스트먼트,6,5.303304908059076
삼성벤처투자,5,5.017279836814924
삼성벤처투자,3,3.9318256327243257
삼성벤처투자,6,5.303304908059076
스톤브릿지벤처스,5,5.017279836814924
스톤브릿지벤처스,6,5.303304908059076
신한은행,6,5.303304908059076
신한은행,5,5.017279836814924
에이치지이니셔티브,5,5.017279836814924
에이치지이니셔티브,6,5.303304908059076
네이버,1,2.833213344056216
네이버,3,3.367295829986474
인라이트벤처스,3,3.1780538303479458
인라이트벤처스,3,3.367295829986474
쿨리지코너인베스트먼트,3,3.367295829986474
쿨리지코너인베스트먼트,3,3.1780538303479458
디티앤인베스트먼트,3,3.1780538303479458
디티앤인베스트먼트,3,3.367295829986474
네이버,1,2.833213344056216
네이버,3,4.564348191467836
위벤처스,3,4.564348191467836
위벤처스,3,3.713572066704308
에이티넘인베스트먼트,3,4.564348191467836
에이티넘인베스트먼트,3,3.713572066704308
현대자동차,1,2.833213344056216
현대자동차,3,4.564348191467836
우리은행,3,4.564348191467836
우리은행,3,2.3978952727983707
네이버,1,2.833213344056216
네이버,1,1.791759469228055
네이버,3,2.3978952727983707
슈미트,1,1.791759469228055
슈미트,3,2.3978952727983707
리벤처스,3,2.3978952727983707
리벤처스,3,0.0950556019475865
네이버,1,2.833213344056216
네이버,2,3.295836866004329
네이버,2,2.833213344056216
매쉬업엔젤스,1,2.833213344056216
매쉬업엔젤스,2,2.833213344056216
빅베이슨캐피탈,2,2.4849066497880004
빅베이슨캐피탈,2,2.833213344056216
네이버,1,2.833213344056216
네이버,2,4.663439094112067
본엔젤스벤처파트너스,1,2.833213344056216
본엔젤스벤처파트너스,2,4.663439094112067
본엔젤스벤처파트너스,2,4.61512051684126
한국산업은행,2,4.61512051684126
한국산업은행,2,4.663439094112067
인터밸류파트너스,2,4.61512051684126
인터밸류파트너스,2,4.663439094112067
타임폴리오자산운용,2,4.663439094112067
타임폴리오자산운용,2,4.61512051684126
네이버,1,2.833213344056216
네이버,1,0.6931471805599453
매쉬업엔젤스,1,0.6931471805599453
매쉬업엔젤스,1,0.6931471805599453
